Region;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Belgium;35.370;35.640;36.080;36.300;37.440;38.100;38.810;39.950;39.810;38.740;39.420;39.670;39.510;39.440;39.960;40.310;40.590;41.030;41.610;42.400;40.190;42.510;43.960;44.120;44.300
Bulgaria;4.160;4.460;4.750;5.020;5.380;5.790;6.220;6.660;7.110;6.900;7.060;7.390;7.530;7.600;7.760;8.130;8.480;8.830;9.180;9.670;9.450;10.250;10.740;10.970;11.300
Czechia;13.410;13.860;14.110;14.570;15.250;16.180;17.200;18.050;18.330;17.350;17.770;18.120;17.970;17.970;18.370;19.270;19.760;20.760;21.320;22.050;20.980;21.830;21.910;21.680;21.910
Denmark;47.150;47.430;47.490;47.570;48.770;49.780;51.510;51.790;51.270;48.460;49.010;49.440;49.260;49.750;50.110;50.810;51.950;53.200;53.920;54.630;53.540;56.780;56.530;56.470;58.160
Germany;34.680;35.220;35.110;34.940;35.380;35.750;37.200;38.360;38.820;36.800;38.420;39.870;39.980;40.020;40.720;41.040;41.640;42.610;42.960;43.290;41.480;42.990;43.260;42.780;42.580
Estonia;10.480;11.160;12.020;13.010;13.980;15.400;17.010;18.400;17.510;14.980;15.380;16.590;17.260;17.630;18.280;18.650;19.190;20.270;20.970;21.650;20.960;22.440;22.430;21.210;21.020
Ireland;39.880;41.350;43.030;43.600;45.760;47.310;48.390;49.450;46.230;43.450;43.990;44.510;44.150;44.890;48.770;60.210;60.220;65.370;69.390;71.720;75.820;87.160;91.760;87.810;88.600
Greece;16.120;16.780;17.510;18.480;19.420;19.590;20.790;21.470;21.420;20.490;19.300;17.420;16.050;15.800;16.030;16.100;16.160;16.430;16.810;17.210;15.660;17.110;18.200;18.670;19.130
Spain;22.930;23.700;23.970;24.220;24.590;25.000;25.600;25.990;25.760;24.590;24.510;24.260;23.560;23.310;23.730;24.720;25.420;26.110;26.620;26.930;23.850;25.440;26.770;27.150;27.740
France;32.030;32.400;32.510;32.600;33.300;33.680;34.360;35.010;34.960;33.800;34.310;34.990;34.880;34.990;35.150;35.370;35.540;36.140;36.570;37.160;34.280;36.470;37.320;37.760;38.110
Croatia;8.500;9.100;9.620;10.150;10.570;11.020;11.580;12.160;12.410;11.570;11.440;11.470;11.250;11.270;11.260;11.600;12.100;12.630;13.120;13.870;12.840;14.560;15.640;16.060;16.710
Italy;31.090;31.690;31.720;31.570;31.790;31.850;32.290;32.570;31.990;30.110;30.440;30.550;29.510;28.920;28.910;29.210;29.630;30.160;30.470;30.680;28.100;30.760;32.310;32.560;32.810
Cyprus;20.500;21.080;21.610;21.910;22.710;23.470;24.170;24.870;25.140;23.980;23.890;23.390;22.280;20.830;20.490;21.140;22.410;23.500;24.690;25.790;24.630;27.030;28.440;28.670;29.190
Latvia;6.540;7.050;7.680;8.410;9.240;10.430;11.870;13.220;12.900;11.020;10.840;11.380;12.360;12.750;13.140;13.750;14.230;14.850;15.610;15.820;15.370;16.580;16.870;17.390;17.510
Lithuania;6.550;7.030;7.560;8.430;9.080;9.940;10.850;12.190;12.640;10.880;11.160;12.140;12.830;13.480;14.100;14.630;15.200;16.090;17.030;17.870;17.890;19.040;19.360;19.160;19.580
Luxembourg;89.780;91.520;93.460;94.720;97.380;98.260;102.580;109.090;106.870;101.540;103.430;102.110;101.440;102.010;102.240;102.530;104.920;104.020;103.640;104.310;102.190;107.570;104.100;101.450;100.880
Hungary;8.800;9.180;9.640;10.050;10.570;11.050;11.500;11.550;11.690;10.920;11.060;11.300;11.220;11.490;12.040;12.530;12.880;13.460;14.240;14.980;14.370;15.470;16.170;16.060;16.190
Malta;17.340;16.900;17.240;17.760;17.710;18.110;18.460;19.320;20.040;19.620;20.730;20.850;21.530;22.590;23.830;25.500;25.950;28.510;29.490;29.460;27.890;31.410;31.910;32.740;33.610
Netherlands;40.430;41.060;40.890;40.740;41.420;42.160;43.590;45.180;45.960;44.050;44.400;44.980;44.370;44.230;44.780;45.530;46.380;47.390;48.180;48.970;46.810;49.490;51.480;50.660;50.880
Austria;37.880;38.230;38.610;38.880;39.620;40.270;41.370;42.790;43.280;41.620;42.280;43.370;43.450;43.080;43.070;43.200;43.550;44.260;45.140;45.730;42.650;44.520;46.350;45.510;44.830
Poland;6.950;7.040;7.180;7.440;7.820;8.080;8.590;9.170;9.570;9.810;10.150;10.680;10.840;10.930;11.360;11.870;12.240;12.870;13.680;14.310;14.310;15.380;15.840;15.950;16.470
Portugal;18.580;18.810;18.850;18.600;18.890;19.000;19.280;19.720;19.760;19.120;19.440;19.110;18.410;18.330;18.560;18.920;19.350;20.020;20.620;21.150;19.360;20.390;21.690;22.020;22.230
