Region,education_level,urbanisation_degree,age_class,commuting_time,value,percent
France,All ISCED 2011 levels,Total,15-74,45-59,9943.0,8.799192913211622
France,All ISCED 2011 levels,Total,15-74,60+,11129.0,9.848759723537377
Germany,All ISCED 2011 levels,Total,15-74,0,8241.0,5.051272778537148
Germany,All ISCED 2011 levels,Total,15-74,1-9,27062.0,16.587494713356666
Germany,All ISCED 2011 levels,Total,15-74,10-14,27373.0,16.778120345455324
Germany,All ISCED 2011 levels,Total,15-74,15-19,26061.0,15.973937614543939
Germany,All ISCED 2011 levels,Total,15-74,20-29,21319.5,13.067662905232705
Germany,All ISCED 2011 levels,Total,15-74,30-44,23735.5,14.5485359828866
Germany,All ISCED 2011 levels,Total,15-74,45-59,12781.5,7.834345712762111
Germany,All ISCED 2011 levels,Total,15-74,60+,16573.5,10.158629947225508
Greece,All ISCED 2011 levels,Total,15-74,0,148.0,0.8893696292290126
Greece,All ISCED 2011 levels,Total,15-74,1-9,2770.0,16.64563427678625
Greece,All ISCED 2011 levels,Total,15-74,10-14,4542.0,27.294032810528215
Greece,All ISCED 2011 levels,Total,15-74,15-19,2021.5,12.147707469503034
Greece,All ISCED 2011 levels,Total,15-74,20-29,3224.0,19.373835706988764
Greece,All ISCED 2011 levels,Total,15-74,30-44,2903.5,17.447869719367826
Greece,All ISCED 2011 levels,Total,15-74,45-59,443.5,2.6651042605612645
Greece,All ISCED 2011 levels,Total,15-74,60+,588.5,3.5364461270356347
Hungary,All ISCED 2011 levels,Total,15-74,0,1187.5,5.434160851161194
Hungary,All ISCED 2011 levels,Total,15-74,1-9,1584.5,7.250886626244137
Hungary,All ISCED 2011 levels,Total,15-74,10-14,3166.5,14.49033291385425
Hungary,All ISCED 2011 levels,Total,15-74,15-19,2433.0,11.133737558631735
Hungary,All ISCED 2011 levels,Total,15-74,20-29,3896.0,17.828623727262325
Hungary,All ISCED 2011 levels,Total,15-74,30-44,5798.5,26.53472142775426
Hungary,All ISCED 2011 levels,Total,15-74,45-59,1481.0,6.777256606795561
Hungary,All ISCED 2011 levels,Total,15-74,60+,2305.5,10.550280288296534
Iceland,All ISCED 2011 levels,Total,15-74,1-9,369.5,41.65727170236753
Iceland,All ISCED 2011 levels,Total,15-74,10-14,164.0,18.489289740698986
Iceland,All ISCED 2011 levels,Total,15-74,15-19,138.0,15.558060879368659
Iceland,All ISCED 2011 levels,Total,15-74,20-29,102.5,11.555806087936865
Iceland,All ISCED 2011 levels,Total,15-74,30-44,76.0,8.568207440811724
Iceland,All ISCED 2011 levels,Total,15-74,60+,37.0,4.1713641488162345
Ireland,All ISCED 2011 levels,Total,15-74,0,793.5,8.277264903770927
Ireland,All ISCED 2011 levels,Total,15-74,1-9,1234.0,12.872268293955042
Ireland,All ISCED 2011 levels,Total,15-74,10-14,1214.5,12.6688572471705
Ireland,All ISCED 2011 levels,Total,15-74,15-19,1102.5,11.500547645125959
Ireland,All ISCED 2011 levels,Total,15-74,20-29,1854.5,19.344912115996454
Ireland,All ISCED 2011 levels,Total,15-74,30-44,2010.0,20.96698482240651
Ireland,All ISCED 2011 levels,Total,15-74,45-59,652.0,6.80123089761644
Ireland,All ISCED 2011 levels,Total,15-74,60+,725.5,7.56793407395817
Italy,All ISCED 2011 levels,Total,15-74,0,1979.5,1.7481652875045262
Italy,All ISCED 2011 levels,Total,15-74,1-9,23615.5,20.855669283689384
Italy,All ISCED 2011 levels,Total,15-74,10-14,22410.0,19.791050312188144
Italy,All ISCED 2011 levels,Total,15-74,15-19,16213.0,14.31826411028587
Italy,All ISCED 2011 levels,Total,15-74,20-29,17353.5,15.32547932139924
Italy,All ISCED 2011 levels,Total,15-74,30-44,18502.0,16.33975961071419
Italy,All ISCED 2011 levels,Total,15-74,45-59,4134.0,3.6508791606687097
Italy,All ISCED 2011 levels,Total,15-74,60+,9025.5,7.970732913549937
Latvia,All ISCED 2011 levels,Total,15-74,0,65.0,1.7988100179881001
Latvia,All ISCED 2011 levels,Total,15-74,1-9,298.5,8.260689082606891
Latvia,All ISCED 2011 levels,Total,15-74,10-14,431.0,11.927494119274941
Latvia,All ISCED 2011 levels,Total,15-74,15-19,229.0,6.33734606337346
Latvia,All ISCED 2011 levels,Total,15-74,20-29,851.0,23.550574235505742
Latvia,All ISCED 2011 levels,Total,15-74,30-44,714.5,19.77307319773073
Latvia,All ISCED 2011 levels,Total,15-74,45-59,409.5,11.332503113325032
Latvia,All ISCED 2011 levels,Total,15-74,60+,615.0,17.0195101701951
Lithuania,All ISCED 2011 levels,Total,15-74,0,242.0,3.5549026808666913
Lithuania,All ISCED 2011 levels,Total,15-74,1-9,592.5,8.703635695923614
Lithuania,All ISCED 2011 levels,Total,15-74,10-14,920.0,13.514506059493206
Lithuania,All ISCED 2011 levels,Total,15-74,15-19,1144.5,16.812339331619537
Lithuania,All ISCED 2011 levels,Total,15-74,20-29,1817.0,26.69114946749908
